code,date,likes,comments,er_pct,cards,caption_length,first_line,first_line_length,hashtag_count,mention_count,first_line_has_arrow,first_line_has_question,newline_count,style,topic,emoji_density,tone_구어체_어미,tone_1인칭_화자,tone_단정형_도발,tone_지시·CTA,tone_권위_인용,tone_이야기_훅
DSD7o0fk2Yu,20251210,9859,248,52.32,8,1109,One Page Secret 👗,17,15,1,0,0,63,개인_기록·일상,운동·바디,0.81,0,0,0,1,0,0
DUF_gdtE08V,20260129,6686,89,35.07,10,924,고양이 One Page Secret 🐱,21,5,1,0,0,45,개인_기록·일상,기타,0.43,0,0,0,1,0,0
DTckwJRE2h7,20260113,6247,27,32.48,12,1052,One Page Secret 👨‍🍳,19,5,1,0,0,58,정보성_팩트체크,운동·바디,0.57,0,0,0,1,0,0
DSJFrwnE4kp,20251212,5915,194,31.63,7,905,One Page Secret ✨,17,15,1,0,0,80,개인_기록·일상,운동·바디,0.88,0,1,0,1,0,0
DUiH_tnE1s4,20260209,4850,40,25.32,9,744,강아지 One Page Secret 🐕,21,5,1,0,0,27,기타,기타,0.54,0,0,0,1,0,0
DTfeQ4WE_GM,20260114,4766,61,24.99,10,855,BTS 진 One Page Secret 💫,23,5,1,0,0,55,정보성_팩트체크,운동·바디,0.47,0,1,1,1,0,0
DUDY6DBk9yh,20260128,4327,7,22.44,9,643,피부 One Page Secret 🍓,20,5,1,0,0,57,정보성_가이드,의학·건강,0.62,0,0,0,1,0,0
DTsUO_Jk0od,20260119,4218,71,22.2,13,1042,박정민 One Page Secret 🎭,21,5,1,0,0,64,유머·짤,다이어트·체중,0.38,0,1,0,1,0,1
DWgRXsgk-_n,20260330,2766,31,14.48,7,544,매력 One Page Secret ✨,20,5,1,0,0,35,기타,기타,0.55,0,0,0,1,0,0
DSQyTghE0b2,20251215,2594,111,14.0,8,1104,One Page Secret 🎵,17,15,1,0,0,70,개인_기록·일상,의학·건강,0.82,0,0,0,1,0,0
DS6YiwLk2aS,20251231,2580,8,13.4,8,681,One Page Secret 💫,17,5,1,0,0,38,기타,기타,0.59,0,1,0,1,0,0
DVfzms9gJzY,20260305,2545,27,13.32,10,766,이준혁 One Page Secret 💪,21,5,1,0,0,48,정보성_가이드,다이어트·체중,0.52,0,1,0,1,0,0
DTZ0DRngDAy,20260112,2468,39,12.98,10,1043,One Page Secret 🇺🇸,18,5,1,0,0,65,기타,운동·바디,0.48,0,0,0,1,0,0
DVqLFHNE0Od,20260309,2395,19,12.5,9,1105,오타니 쇼헤이 One Page Secret ⚾,25,5,1,0,0,55,기타,의학·건강,0.27,0,1,0,1,0,0
DSdz9a6E5Ii,20251220,2127,48,11.26,7,915,One Page Secret 🎤,17,5,1,0,0,63,정보성_가이드,의학·건강,0.98,0,0,0,1,0,0
DUDbHrpE0W1,20260128,2081,18,10.87,11,907,이수혁 One Page Secret 🏋️,22,5,1,0,0,65,정보성_가이드,운동·바디,0.44,0,1,0,1,0,0
DXg5UPnEwV-,20260424,1899,18,9.92,7,1004,아이유 One Page Secret 🎤,21,5,1,0,0,54,개인_기록·일상,운동·바디,0.9,0,1,0,1,0,0
DTKjYviE7Vf,20260106,1808,59,9.67,9,952,One Page Secret ⚽,17,5,1,0,0,52,개인_기록·일상,운동·바디,0.63,0,1,0,1,0,0
DXWgL6XExzw,20260420,1795,39,9.49,10,917,One Page Secret 🎤,17,5,1,0,0,57,정보성_가이드,다이어트·체중,0.44,0,0,0,1,0,0
DXeJIDEk58F,20260423,1679,33,8.86,10,1520,메시 One Page Secret ⚽,20,5,1,0,0,107,개인_기록·일상,운동·바디,0.72,0,0,0,1,0,0
