code,date,likes,comments,er_pct,cards,caption_length,first_line,first_line_length,hashtag_count,mention_count,first_line_has_arrow,first_line_has_question,newline_count,style,topic,emoji_density,tone_구어체_어미,tone_1인칭_화자,tone_단정형_도발,tone_지시·CTA,tone_권위_인용,tone_이야기_훅
DV95Cm-ktwD,20260317,88432,259,10.94,8,603,"🏆 상명대학교 4학년 최민석/장시언 팀, 국제 건축 대회 대상 수상",37,5,2,0,0,10,기타,IT·기획·창업,0.66,0,0,0,0,0,0
DYLgHKTEiuA,20260511,31109,427,3.89,5,472,📦 리어카 대신 전동카트를 ,15,5,0,0,0,9,기타,IT·기획·창업,0.42,0,0,0,0,0,0
DXl6nk4kTf_,20260426,23993,173,2.98,5,365,📍 7개월 짧은 생을 마감한 '보문이',21,5,0,0,0,9,매체·뉴스,의학·건강,0.82,0,0,0,0,0,0
DXx0cBuElnF,20260501,19943,188,2.48,8,308,"🦝 요즘 일본에서 뜨는 ‘너구리상’ 얼굴 일본에서는 고양이상, 강아지상과 함께 ‘너구리상(타누키가오)’이 하나의 미적 유형으로 언급되고 있습니다",260,5,0,0,1,4,기타,기타,0.65,0,0,0,0,0,1
DXyyfhxEecd,20260501,18990,57,2.35,8,473,🏅 30도 더위에 옷 252벌 입은 이유 방송인 황광희는 2011년 세계 환경의 날을 맞아 서울 청계천에서 열린 행사에서 이색적인 도전에 나섰습,213,5,1,0,0,9,매체·뉴스,의학·건강,0.63,0,1,0,0,0,0
DYD2Q7DkkVx,20260508,17198,171,2.14,5,333,"🎤 더 위켄드, 내한 확정?",15,5,1,0,1,10,기타,기타,0.6,0,0,0,0,0,0
DXx7qRYklA-,20260501,16457,109,2.04,7,547,✨ 베스트셀러가 전하는 시공간 초월의 위로,23,5,3,0,0,11,매체·뉴스,기타,0.37,0,0,0,0,0,0
DXoYha5kckV,20260427,16377,46,2.03,5,385,💖 이나은 작가와 문상민의 만남,17,5,2,0,0,10,정보성_가이드,기타,1.04,0,0,0,0,0,0
DXvW3tvkYLA,20260430,15958,34,1.97,5,471,"📍 다시 모인 소환커플과 저승사자, 그리고 써니",26,5,3,0,0,10,기타,기타,0.64,0,0,0,1,0,0
DYRXi7tkqWO,20260513,14203,93,1.76,5,408,받지 못한 ‘밥상’이 가장 간절한 상이 되는 순간 🍽️,30,5,0,0,0,12,매체·뉴스,기타,0.49,0,0,0,0,0,1
DXyQOh5kiV3,20260501,14063,339,1.78,7,474,"🎵 10대 때 듣던 노래, 계속 듣게 되는 이유 이상하게도 예전에 듣던 노래는 시간이 지나도 다시 찾게 됩니다. 특히 13~16세에 반복해서 들",355,5,1,0,0,7,광고·이벤트,기타,0.42,0,0,0,0,0,0
DXyrr_akb7P,20260501,13904,82,1.73,8,369,🐉 애니 감성에 전통 미감을 더한 포켓몬 타투 브라질 기반으로 활동하는 타투이스트 Felipe Kross(@fetattooer)는 우리가 알던 ,275,5,2,0,0,6,기타,IT·기획·창업,0.54,0,0,0,0,0,1
DX8LWl5Ei4g,20260505,13512,192,1.69,6,359,대학교수가 추천하는 애니 리스트 공개... 👨‍🎓,27,5,0,0,0,11,정보성_가이드,재테크·금융,1.11,0,0,0,1,0,0
DTrqjSvEv4L,20260119,13193,58,1.64,10,709,"📷 50년간 인간의 순간을 기록하다, 박용만 전 회장 첫 사진전 개최",38,5,2,0,0,21,기타,의학·건강,0.85,0,1,0,0,0,0
DX22YpEEyzq,20260503,12982,165,1.62,9,645,"불타고 사라진 사찰, 세계 건축상을 받다",22,5,2,0,0,16,기타,기타,0.31,0,0,0,0,0,0
DXlRgW7EaIy,20260426,12509,39,1.55,8,361,🐱 고양이 컨셉의 끝판왕 Radius가 세계 고양이의 날에 맞춰 출시한 이 무선 이어폰은 시작부터 끝까지 ‘고양이’입니다. 케이스는 고양이 실루,172,5,1,0,0,8,기타,IT·기획·창업,0.55,0,0,0,0,0,0
DT2QOyHEk93,20260123,12237,148,1.53,9,692,페라리의 새 뮤즈는 고려청자 ?! ✨,20,4,3,0,1,12,기타,IT·기획·창업,0.29,0,0,0,0,0,0
DYHEXK-Ev8i,20260509,11708,48,1.45,8,607,🎌 현대 애니의 전통화 대만 아티스트 첸즈캉(@justin96636)은 우리가 익숙하게 알고 있는 애니메이션 캐릭터들을 일본 전통 우키요에 스타,544,5,2,0,0,6,정보성_팩트체크,기타,0.33,0,0,0,0,0,0
DXx4KTzEr4T,20260501,11218,116,1.4,9,410,💬 길거리에서 인생을 말하는 이유 이 남자는 한때 “왜 이렇게 살고 있을까”라는 생각이 들 만큼 벼랑 끝에 서 있었습니다. 철탑 작업을 하다 손,338,5,0,0,0,6,정보성_가이드,기타,0.49,0,0,0,0,0,0
DXlDsDrkqRR,20260426,9795,117,1.22,6,309,"🎧 ‘프리슨’ 음악 듣다가 소름 돋는 경험 좋아하는 노래를 듣다가 갑자기 소름이 올라오거나, 가슴이 울컥했던 순간 한 번쯤 있었을 겁니다. 이 ",237,5,0,0,0,8,기타,기타,0.65,0,1,0,0,0,1
