code,date,likes,comments,er_pct,cards,caption_length,first_line,first_line_length,hashtag_count,mention_count,first_line_has_arrow,first_line_has_question,newline_count,style,topic,emoji_density,tone_구어체_어미,tone_1인칭_화자,tone_단정형_도발,tone_지시·CTA,tone_권위_인용,tone_이야기_훅
DFFqDRaP4fv,20250121,4269,80,13.94,10,519,#혼자할만한사업,8,2,0,0,0,23,정보성_가이드,의학·건강,0.39,1,1,0,0,0,0
DEfREcWPGYs,20250107,3690,60,12.02,10,531,#혼자할만한사업,8,1,1,0,0,29,유머·짤,IT·기획·창업,1.13,1,0,0,0,0,0
DHDzWZJS-wH,20250311,2666,53,8.71,11,1071,#혼자할만한사업,8,1,0,0,0,38,유머·짤,IT·기획·창업,0.56,1,0,0,0,0,0
DD76YTgT5XU,20241224,2444,40,7.96,10,868,#혼자할만한사업,8,1,0,0,0,46,정보성_가이드,IT·기획·창업,0.46,1,0,0,1,0,0
DH6BEZ8yo0b,20250401,2367,32,7.69,11,407,#혼자할만한사업,8,1,0,0,0,19,기타,IT·기획·창업,0.74,1,0,0,1,0,0
DL4yB-gxCB8,20250709,2147,42,7.01,17,278,흔하디 흔한 앱으로 먹고사는 1인 개발자 1,24,0,0,0,0,17,정보성_가이드,IT·기획·창업,0.0,1,1,0,0,0,0
DDpjw8Mzs-B,20241217,1802,45,5.92,10,336,#혼자할만한사업 ,9,1,0,0,0,21,정보성_가이드,IT·기획·창업,0.6,1,1,0,0,0,0
DX1jvwEEaEB,20260502,1738,15,5.62,13,256,지난 주 DM으로 질문을 주셔서,17,0,1,0,0,12,기타,IT·기획·창업,0.78,0,1,0,1,0,0
C3PdxB1v9X6,20240212,1653,122,5.69,10,99,헛소리를 정성스럽게 그려보았다,16,0,0,0,0,5,유머·짤,의학·건강,1.01,1,0,0,0,0,0
DDFgqHJTPR1,20241203,1571,30,5.13,10,438,#혼자할만한사업 ,9,1,0,0,0,22,정보성_가이드,IT·기획·창업,0.23,1,1,0,0,0,0
C1jUXRCLb7T,20240101,1504,80,5.08,10,289,새해 첫날부터 돈얘기 하는 사람,17,0,0,0,0,18,정보성_가이드,재테크·금융,0.35,1,1,0,0,0,0
DIL1_D-yNBb,20250408,1415,38,4.66,10,767,#혼자할만한사업,8,1,0,0,0,34,정보성_가이드,IT·기획·창업,0.78,1,1,0,0,0,1
DDW9ndxvPHJ,20241209,1217,24,3.98,8,673,#혼자할만한사업 (상대적으로) 하찮은 사업 1 - Overview,36,1,0,0,0,43,매체·뉴스,IT·기획·창업,0.74,0,1,0,0,0,0
DFYE24cypof,20250129,1201,38,3.97,11,391,#혼자할만한사업,8,1,0,0,0,25,유머·짤,의학·건강,0.0,1,1,0,0,0,0
DHV-nNLSX7c,20250318,1112,24,3.64,14,1236,#혼자할만한사업 ,9,1,0,0,0,43,유머·짤,IT·기획·창업,0.4,1,1,0,0,0,0
DMKrIb9xvse,20250716,934,16,3.04,13,301,흔하디 흔한 앱으로 먹고사는 1인 개발자 2,24,0,0,0,0,15,유머·짤,IT·기획·창업,0.33,1,0,0,0,0,0
DT2QmcgEW-0,20260123,916,17,2.99,17,898,오늘은 Locket App,14,0,0,0,0,43,정보성_팩트체크,재테크·금융,0.78,1,1,0,0,0,1
DExRbKVPozo,20250113,874,43,2.94,10,493,#혼자할만한사업,8,1,0,0,0,28,유머·짤,IT·기획·창업,0.41,1,0,0,0,0,0
DOX6vDYESsA,20250909,836,26,2.76,10,1394,분명히 지난주부터 그렸는데 2주만에 업로드 ㅋㅋ,26,0,0,0,0,38,유머·짤,재테크·금융,0.5,1,1,0,0,0,0
DW8xQ5REWq6,20260410,827,10,2.68,20,459,오늘은 PostHog,11,0,0,0,0,17,개인_기록·일상,IT·기획·창업,0.65,0,0,0,0,0,1
