code,date,likes,comments,er_pct,cards,caption_length,first_line,first_line_length,hashtag_count,mention_count,first_line_has_arrow,first_line_has_question,newline_count,style,topic,emoji_density,tone_구어체_어미,tone_1인칭_화자,tone_단정형_도발,tone_지시·CTA,tone_권위_인용,tone_이야기_훅
DVdz8kjCYgb,20260304,28853,220,124.23,11,48,낭만 미쳤다❤️❤️❤️,12,5,0,0,0,8,유머·짤,기타,0.0,0,0,0,0,0,0
DUYUn2WCQ2k,20260205,10053,91,43.34,14,45,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,12,5,0,0,0,7,유머·짤,기타,0.0,1,0,0,0,0,0
DTH22zACTCf,20260105,9676,34,41.49,14,65,게시물이 웃겼다면 ”잘 읽었습니다“ 한마디 남겨주세요,29,5,0,0,0,7,유머·짤,기타,0.0,0,0,0,1,0,0
DYSAfN0iQCN,20260513,5888,113,25.64,12,45,어떻게 생각하세요?,10,5,0,0,1,8,기타,기타,0.0,0,0,0,0,0,0
DUu_dwRCS6a,20260214,5268,111,22.98,13,58,해외에선 통하지 않는다는 한국식 진상,20,5,0,0,0,7,유머·짤,기타,0.0,0,0,0,0,0,0
DS4WdLqCeYh,20251230,4976,83,21.62,12,72,"게시물이 웃겼다면 ”잘 읽었습니다“ 한마디 남겨주세요",30,5,0,0,0,6,유머·짤,기타,0.0,0,0,0,1,0,0
DVntjHgiRyJ,20260308,4662,45,20.11,16,53,앵무새 지능 대박인 게..,14,5,0,0,0,6,유머·짤,기타,0.0,0,0,0,1,0,0
DTkHRNECSk9,20260116,4614,15,19.78,11,66,게시물이 웃겼다면 ”잘 읽었습니다“ 한마디 남겨주세요,29,5,0,0,0,7,유머·짤,기타,0.0,0,0,0,0,0,0
DUIH38fiSma,20260130,4065,33,17.51,14,66,게시물이 웃겼다면 ”잘 읽었습니다“ 한마디 남겨주세요,29,5,0,0,0,7,유머·짤,기타,0.0,0,0,0,1,0,0
DTCvMrJiW_b,20260103,3601,403,17.11,17,73,"게시물이 공감된다면 ”잘 읽었습니다“ 한마디 남겨주세요",31,5,0,0,0,6,유머·짤,기타,0.0,0,0,0,0,0,0
DU-9duCiVL3,20260220,3498,29,15.07,10,57,겨울에만 볼 수 있다는 털찐 여우,18,5,0,0,0,7,유머·짤,기타,0.0,0,0,0,0,0,0
DUffN7OiQWT,20260208,3184,50,13.82,9,41,@@ 하러 갈까??,10,4,0,0,1,7,유머·짤,기타,0.0,0,0,0,0,0,0
DTSLswCiQNy,20260109,3176,30,13.7,10,71,"게시물이 웃겼다면 ”잘 읽었습니다“ 한마디 남겨주세요",30,5,0,0,0,6,유머·짤,기타,0.0,0,0,0,0,0,0
DSCdEHWCViJ,20251209,3144,29,13.56,12,50,게시물이 웃겼다면 ”잘 읽었습니다“ 한마디 남겨주세요,29,2,0,0,0,7,유머·짤,기타,0.0,0,0,0,0,0,0
DTzrc_6iacp,20260122,3047,114,13.51,17,65,게시물이 웃겼다면 ”잘 읽었습니다“ 한마디 남겨주세요,29,5,0,0,0,7,유머·짤,기타,0.0,0,0,0,0,0,0
DVQ7ThsCVfk,20260227,3031,38,13.11,15,62,친구 셀카에 옷 예뻐서 어디꺼냐고 물어봤는데,24,5,0,0,0,8,유머·짤,기타,0.0,0,0,0,1,0,0
DUxVbWBiTTN,20260215,2957,22,12.73,14,64,배달시키면 사장님이 자꾸 그림 그려주심,21,5,0,0,0,9,유머·짤,기타,0.0,0,0,0,1,0,0
DRO0kOZknCD,20251119,2768,20,11.91,14,74,"새콤달콤이 제일 웃기네 ㅋㅋㅋㅋ",18,8,0,0,0,5,유머·짤,기타,0.0,1,0,0,1,0,0
DRogghzCaSC,20251129,2715,3,11.61,16,58,게시물이 웃겼다면 ”잘 읽었습니다“ 한마디 남겨주세요,29,2,0,0,0,9,유머·짤,기타,0.0,0,0,0,0,0,0
DSzMY10CaIc,20251228,2569,66,11.26,12,71,게시물이 웃겼다면 ”잘 읽었습니다“ 한마디 남겨주세요,29,5,0,0,0,9,유머·짤,기타,0.0,0,0,0,1,0,0
